linha_base,direcao_base,total_pontos_linha_base,linha_compartilhada,direcao_compartilhada,num_pontos_compartilhados,percentual_cobertura,pontos_compartilhados
805,Volta,24,SP805,Volta,18,75,"Aldo Bonadei, Alfa Barra, Clube Riviera, Comandante Júlio de Moura, Peregrino Junior, Praça do Ó, Praça Euvaldo Lodi, Praça Professor José Bernardino, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Prefeito Dulcídio Cardoso, Prudência do Amaral, Rodolfo de Campos, São Regulo, Terminal Alvorada :: Plataforma C6"
805,Volta,24,SP805,Ida,2,8.33,"Praça Euvaldo Lodi, Terminal Alvorada :: Plataforma C6"
805,Volta,24,957,Ida,22,91.67,"Aldo Bonadei, Alfa Barra, Clube Riviera, Comandante Júlio de Moura, Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Peregrino Junior, Praça do Ó, Praça Euvaldo Lodi, Praça Professor José Bernardino, Praça Professor Souza Araújo, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Prefeito Dulcídio Cardoso, Prudência do Amaral, Rodolfo de Campos, São Regulo"
805,Volta,24,990,Ida,2,8.33,"Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli"
805,Volta,24,645,Ida,2,8.33,"Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli"
805,Volta,24,552,Volta,22,91.67,"Aldo Bonadei, Alfa Barra, Clube Riviera, Comandante Júlio de Moura, Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Peregrino Junior, Praça do Ó, Praça Euvaldo Lodi, Praça Professor José Bernardino, Praça Professor Souza Araújo, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Prefeito Dulcídio Cardoso, Prudência do Amaral, Rodolfo de Campos, São Regulo"
805,Volta,24,554,Ida,2,8.33,"Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli"
805,Volta,24,558,Ida,5,20.83,"Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Praça Professor Souza Araújo"
805,Volta,24,301,Volta,2,8.33,"Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli"
805,Volta,24,SV863,Volta,2,8.33,"Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli"
805,Volta,24,548,Volta,2,8.33,"Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli"
315,Ida,64,955,Ida,9,14.06,"Aeroporto de Jacarepaguá, Arlindo Janot - Saída 9, Democráticos - Saída 7, Estação Aeroporto de Jacarepaguá, Isabel Domingues, Mercado do Produtor, Shopping Aerotown, Subprefeitura da Barra, Vila do João - Pista Lateral"
315,Ida,64,497,Volta,15,23.44,"Almirante Mariath (Portão 24) :: Linhas Municipais, Arlindo Janot - Saída 9, Bela, BRS 1,3,5: Cidade Nova, BRS 3,5: Praça Onze, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado, Vila do João - Pista Lateral"
315,Ida,64,2305,Volta,3,4.69,"Almirante Mariath (Portão 24) :: Linhas Municipais, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central"
315,Ida,64,SV692,Ida,7,10.94,"Aeroporto de Jacarepaguá, Estação Aeroporto de Jacarepaguá, Isabel Domingues, Mercado do Produtor, Shopping Aerotown, Subprefeitura da Barra, Vila Pan-Americana"
315,Ida,64,292,Volta,12,18.75,"Almirante Mariath (Portão 24) :: Linhas Municipais, Arlindo Janot - Saída 9, Bela, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado"
315,Ida,64,326,Volta,11,17.19,"Almirante Mariath (Portão 24) :: Linhas Municipais, Bela, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado"
315,Ida,64,328,Volta,11,17.19,"Almirante Mariath (Portão 24) :: Linhas Municipais, Bela, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado"
315,Ida,64,329,Volta,11,17.19,"Almirante Mariath (Portão 24) :: Linhas Municipais, Bela, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado"
315,Ida,64,342,Volta,11,17.19,"Almirante Mariath (Portão 24) :: Linhas Municipais, Bela, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado"
315,Ida,64,SR342,Volta,3,4.69,"Almirante Mariath (Portão 24) :: Linhas Municipais, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central"
315,Ida,64,355,Volta,9,14.06,"Almirante Mariath (Portão 24) :: Linhas Municipais, Bela, Fiocruz, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado"
315,Ida,64,SR355,Volta,1,1.56,Almirante Mariath (Portão 24) :: Linhas Municipais
315,Ida,64,362,Volta,11,17.19,"Almirante Mariath (Portão 24) :: Linhas Municipais, Bela, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado"
315,Ida,64,SR362,Volta,3,4.69,"Almirante Mariath (Portão 24) :: Linhas Municipais, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central"
315,Ida,64,378,Volta,11,17.19,"Almirante Mariath (Portão 24) :: Linhas Municipais, Bela, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado"
315,Ida,64,SR378,Volta,3,4.69,"Almirante Mariath (Portão 24) :: Linhas Municipais, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central"
315,Ida,64,384,Volta,11,17.19,"Almirante Mariath (Portão 24) :: Linhas Municipais, Bela, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado"
315,Ida,64,SN324,Volta,10,15.62,"Almirante Mariath (Portão 24) :: Linhas Municipais, Bela, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos"
315,Ida,64,399,Volta,11,17.19,"Almirante Mariath (Portão 24) :: Linhas Municipais, Bela, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado"
315,Ida,64,456,Volta,1,1.56,"BRS 3,5: Praça Onze"
315,Ida,64,457,Volta,1,1.56,"BRS 3,5: Praça Onze"
315,Ida,64,483,Volta,16,25,"Almirante Mariath (Portão 24) :: Linhas Municipais, Arlindo Janot - Saída 9, Bela, BRS 1,3,5: Central, BRS 1,3,5: Cidade Nova, BRS 3,5: Praça Onze, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado, Vila do João - Pista Lateral"
315,Ida,64,492,Volta,1,1.56,Almirante Mariath (Portão 24) :: Linhas Municipais
315,Ida,64,386,Volta,11,17.19,"Almirante Mariath (Portão 24) :: Linhas Municipais, Bela, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado"
